epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,1412.97,1.41096,1.42914,1.48671,0.5298,0.56681,0.55344,0.32154,1.49056,1.55969,1.43409,0.0092773,0.0092773,0.0092773
75,1433.14,1.38984,1.41051,1.46958,0.61351,0.51555,0.58044,0.33099,1.50071,1.51755,1.42307,0.0092674,0.0092674,0.0092674
76,1452.69,1.38596,1.41397,1.47301,0.63451,0.52624,0.55937,0.31553,1.507,1.54748,1.41509,0.0092575,0.0092575,0.0092575
77,1472.81,1.37933,1.42026,1.46327,0.63098,0.52132,0.57243,0.33838,1.46939,1.51967,1.37319,0.0092476,0.0092476,0.0092476
78,1492.64,1.39218,1.43617,1.47442,0.63612,0.55261,0.54543,0.31182,1.56524,1.62581,1.41452,0.0092377,0.0092377,0.0092377
79,1512.44,1.39297,1.41324,1.47774,0.60974,0.54733,0.57922,0.34497,1.47179,1.49057,1.39688,0.0092278,0.0092278,0.0092278
80,1532.33,1.39737,1.41816,1.47687,0.68134,0.49047,0.57199,0.33158,1.5556,1.57478,1.40527,0.0092179,0.0092179,0.0092179
81,1552.25,1.38566,1.42654,1.46541,0.61966,0.56058,0.57046,0.33277,1.55599,1.50195,1.47096,0.009208,0.009208,0.009208
82,1571.91,1.3697,1.41699,1.46091,0.58772,0.55154,0.55738,0.33991,1.49334,1.55262,1.38733,0.0091981,0.0091981,0.0091981
83,1591.52,1.36638,1.389,1.45222,0.58249,0.57818,0.60098,0.35594,1.51393,1.53649,1.39634,0.0091882,0.0091882,0.0091882
84,1611.57,1.36278,1.37146,1.44911,0.53949,0.59384,0.55754,0.31996,1.4809,1.55268,1.40853,0.0091783,0.0091783,0.0091783
85,1631.34,1.35831,1.3336,1.44234,0.57381,0.57532,0.58792,0.34315,1.50319,1.45883,1.41736,0.0091684,0.0091684,0.0091684
86,1651.05,1.37169,1.3762,1.46131,0.56941,0.58018,0.55803,0.31035,1.5233,1.49182,1.41455,0.0091585,0.0091585,0.0091585
87,1670.2,1.32783,1.33135,1.43583,0.6349,0.54364,0.59864,0.36632,1.40253,1.42692,1.37903,0.0091486,0.0091486,0.0091486
88,1689.82,1.3506,1.34119,1.44512,0.6657,0.55762,0.59251,0.34614,1.4204,1.43749,1.36273,0.0091387,0.0091387,0.0091387
89,1709.74,1.35452,1.33225,1.44714,0.5101,0.62278,0.5787,0.32893,1.53905,1.43229,1.41784,0.0091288,0.0091288,0.0091288
90,1729.29,1.36059,1.33963,1.46432,0.66583,0.51732,0.57408,0.34964,1.49049,1.49796,1.4154,0.0091189,0.0091189,0.0091189
91,1749.21,1.33999,1.33856,1.43116,0.69479,0.50451,0.58826,0.34602,1.41956,1.52941,1.35085,0.009109,0.009109,0.009109
